Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLE,UNCOMPRESSED,1293250,587230,13,19,400434.0,1.001074989250107
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLE,LZ4,1408677,590615,428501,651882,162347.0,0.405863441365586
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLE,GZIP,1313990,587185,14815630,1333126,84649.0,0.21162038379616213
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLE,SNAPPY,1302579,596600,674288,292849,184239.0,0.46059289407105913
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,SPRINTZ,UNCOMPRESSED,2464544,727071,13,22,79855.0,0.19963550364496352
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,SPRINTZ,LZ4,2519272,728310,10463,230275,80162.0,0.2004029959700404
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,SPRINTZ,GZIP,2587073,812262,1891806,588703,65903.0,0.1647558524414754
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,SPRINTZ,SNAPPY,2464024,742475,9406,3557,79861.0,0.19965050349496496
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,GORILLA,UNCOMPRESSED,991804,867239,17,17,387006.0,0.96750532494675
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,GORILLA,LZ4,1114869,864799,530698,607016,176955.0,0.44238307616923833
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,GORILLA,GZIP,997019,856873,24359582,1609009,120876.0,0.30218697813021894
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,GORILLA,SNAPPY,989587,858621,729034,240446,187882.0,0.4697003029969696
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLBE,UNCOMPRESSED,74654382,2286474,49,56,279011.0,0.6975205247947517
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLBE,LZ4,74843171,2284053,535479,472296,162354.0,0.4058809411905883
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLBE,GZIP,75354521,2295502,12054690,1308310,103536.0,0.25883741162588353
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RLBE,SNAPPY,75450325,2296180,764639,239638,165872.0,0.41467585324146794
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RAKE,UNCOMPRESSED,24914665,35,43,72,285030.0,0.7125678743212565
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RAKE,LZ4,24829674,20,445186,480445,155856.0,0.38963610363896356
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RAKE,GZIP,24747987,70,16498753,1239507,82022.0,0.20505294947050534
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,RAKE,SNAPPY,24795074,18,608281,217332,132993.0,0.33247917520824766
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,BUFF,UNCOMPRESSED,2423425,684510,18,19,125018.0,0.3125418745812545
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,BUFF,LZ4,2497184,685386,13793,362299,125510.0,0.31377186228137743
